ID задания,Тема,Порядок темы,Уровень,Тип задания,День цикла,Номер в дне,Вопрос,Тип ответа,Варианты ответов,Правильный ответ,Объяснение,URL медиа,Тип медиа,Статус
BEG-FAMILY-D1-G1,Family and Friends,1,Beginner,grammar,1,1,Choose the correct possessive adjective: "This is ___ brother.",multiple_choice,my | mine | me | I,my,"We use ""my"" before nouns to show possession. ""Mine"" is used without a noun (e.g. ""This book is mine"").",,none,active
BEG-FAMILY-D1-G2,Family and Friends,1,Beginner,grammar,1,2,Complete the sentence: "My sister ___ a teacher.",multiple_choice,am | is | are | be,is,"We use ""is"" with he/she/it (third person singular). ""My sister"" = she so we use ""is"".",,none,active
BEG-FAMILY-D1-G3,Family and Friends,1,Beginner,grammar,1,3,Choose the correct form: "I ___ two brothers.",multiple_choice,have | has | am | having,have,"We use ""have"" with I/you/we/they. ""Has"" is used only with he/she/it.",,none,active
BEG-FAMILY-D2-R1,Family and Friends,1,Beginner,reading,2,1,"Read the text: ""Hi! My name is Anna. I have a big family. My mother's name is Lisa. She is 45 years old. My father is Tom. He is 48. I have one sister. Her name is Kate."" How old is Anna's mother?",multiple_choice,45 | 48 | 40 | The text doesn't say,45,"The text says ""My mother's name is Lisa. She is 45 years old.""",,none,active
BEG-FAMILY-D2-R2,Family and Friends,1,Beginner,reading,2,2,"Read: ""My best friend is Mike. He is 25 years old. He is from Canada. Mike is tall and has brown hair. He likes sports and music."" Where is Mike from?",multiple_choice,USA | Canada | UK | Australia,Canada,The text clearly states "He is from Canada.",,none,active
BEG-FAMILY-D2-R3,Family and Friends,1,Beginner,reading,2,3,"Read the dialogue: ""Tom: Do you have any brothers or sisters? Sarah: Yes I have one brother. Tom: What's his name? Sarah: His name is John. He is 20 years old."" How many siblings does Sarah have?",multiple_choice,One brother | Two brothers | One sister | No siblings,One brother,"Sarah says ""I have one brother"" - so she has only one sibling.",,none,active
BEG-FAMILY-D3-V1,Family and Friends,1,Beginner,vocabulary,3,1,What do you call your mother's mother?,multiple_choice,Grandmother | Aunt | Cousin | Sister,Grandmother,"Your mother's mother (or father's mother) is your grandmother. You can also say ""grandma"" or ""granny"".",,none,active
BEG-FAMILY-D3-V2,Family and Friends,1,Beginner,vocabulary,3,2,Choose the correct word: My friend is very ___. She always makes me laugh.,multiple_choice,funny | boring | angry | tired,funny,"Funny means someone who makes you laugh. If someone ""makes me laugh"" they are funny.",,none,active
BEG-FAMILY-D3-V3,Family and Friends,1,Beginner,vocabulary,3,3,What do you call your father's brother?,multiple_choice,Uncle | Nephew | Cousin | Grandfather,Uncle,"Your father's brother (or mother's brother) is your uncle. His wife is your aunt and their children are your cousins.",,none,active
BEG-FAMILY-D4-S1,Family and Friends,1,Beginner,situations,4,1,"Your friend asks: ""Do you have any brothers or sisters?"" You have one sister. What do you say?",multiple_choice,Yes I have one sister. | Yes I have sister. | Yes I am one sister. | Yes I has one sister.,Yes I have one sister.,"We say ""I have one sister"" (with ""one"" before the noun). ""I have sister"" is incorrect - we need an article or number.",,none,active
BEG-FAMILY-D4-S2,Family and Friends,1,Beginner,situations,4,2,You want to introduce your mother to your friend. What do you say?,multiple_choice,This is my mother. | She is my mother. | This my mother. | That my mother is.,This is my mother.,"When introducing someone we use ""This is..."" (for people near you). ""This is my mother"" is the natural way to introduce family members.",,none,active
BEG-FAMILY-D4-S3,Family and Friends,1,Beginner,situations,4,3,Your friend asks about your family. You want to say you live with your parents. What is correct?,multiple_choice,I live with my parents. | I live with my parent. | I am live with my parents. | I living with my parents.,I live with my parents.,"I live with my parents"" is the correct form. ""Parents"" is plural (mother and father together). We don't use ""am"" or ""-ing"" with ""live"" in this case.",,none,active
BEG-FAMILY-D5-RV1,Family and Friends,1,Beginner,review,5,1,Choose the correct sentence:,multiple_choice,My sister is kind. | I have two brother. | This is my friend Kate. | She name is Anna.,My sister is kind.,"Correct: ""My sister is kind"". Wrong: ""I have two brother"" (should be ""brothers"") ""She name is Anna"" (should be ""Her name is Anna"").",,none,active
BEG-FAMILY-D5-RV2,Family and Friends,1,Beginner,review,5,2,"Complete the text with the correct words: ""This is ___ family. ___ mother is a doctor. I ___ one brother.""",multiple_choice,my / My / have | my / My / has | mine / My / have | my / Mine / have,my / My / have,"This is MY family"" (possessive) ""MY mother"" (capital at start of sentence) ""I HAVE"" (correct form of have).",,none,active
BEG-FAMILY-D5-RV3,Family and Friends,1,Beginner,review,5,3,Write 3-4 sentences about your family or a friend. Include: who they are their age or job and one thing you like about them.,open_question,,Example: I have a big family. My mother is 45 years old. She is very kind. I also have a best friend. His name is Tom. He is funny and friendly.,Good answer should include family members or friends some details (age/job/appearance) and personal opinion. Use simple present tense and possessive adjectives correctly.,,none,active

